key,category,district,latitude,longitude
Ansoo Lake,Lake,Khyber Pakhtunkhwa,34.8141186,73.67642783
Astola Island,Island,Balochistan,25.1223206,63.84794782
Attabad Lake,Lake,Gilgit Baltistan,36.3458274,74.86543579
Badshahi Mosque,Mosque,Punjab,31.588303,74.310875
Baltoro Glacier,Mountainous,Gilgit Baltistan,35.7106418,76.55314235
Bhurban,Hill Station,Punjab,33.9550872,73.4518727
Bruti waterfall Islamabad,Waterfall,Islamabad,33.7742831,73.1139125
Concordia,Mountainous,Gilgit Baltistan,35.7416218,76.5118925
Deosai National Park,National Park,Gilgit Baltistan,34.9565886,75.47983135
Derawar Fort,Fort,Punjab,28.76800705,71.33424735
Dhanni Waterfall,Waterfall,Azad Kashmir,34.4241,73.6911
Emperor Mosque,Mosque,Punjab,31.588126,74.30932246
Fairy Meadows,National Park,Gilgit Baltistan,35.3872034,74.57892916
Faisal Mosque,Mosque,Islamabad,33.7297492,73.03736
Farphu Waterfall,Waterfall,Gilgit Baltistan,35.9995,75.9999
Gawadar,Coastal,Balochistan,25.154342,62.0499838
Gojal Valley,Valley,Gilgit Baltistan,36.6176353,74.8632045
Gorakh Hill,Hill Station,Sindh,26.8611674,67.1511368
Gulpur Mahuli waterfalls,Waterfall,Azad Kashmir,33.46410685,73.86825122
Hingol National Park,National Park,Balochistan,25.5064168,65.530701
Hunza Valley,Valley,Gilgit Baltistan,36.3167,74.65
Indus Kohistan,Mountainous,Khyber Pakhtunkhwa,35.5074167,73.2877772
Jahaz Banda Kumrat Valley,Waterfall,Khyber Pakhtunkhwa,35.5638686,72.1941226
Kalam Valley,Valley,Khyber Pakhtunkhwa,35.4902,72.5796
Kalash,Valley,Khyber Pakhtunkhwa,35.6838,71.6554
Kanhatti Gardens,Waterfall,Punjab,32.6774124,72.2474823
Karambar Lake,Lake,Khyber Pakhtunkhwa,36.8784107,73.70117513
Katasraj temple,Temple,Punjab,32.7239451,72.9516404
Khewra Salt Mine,Mine,Punjab,32.6465569,73.0062054
Kiwai Kaghan,Waterfall,Khyber Pakhtunkhwa,34.77916173,73.52379989
Lahore Fort,Fort,Punjab,31.58803305,74.31495649
Lake Saif-ul-Malook,Lake,Khyber Pakhtunkhwa,34.8818168,73.6957232
Lasbela Beach,Coastal,Balochistan,25.1186,66.7267
Mahodand Waterfall,Waterfall,Khyber Pakhtunkhwa,35.7139,72.651
Malam Jabba,Hill Station,Khyber Pakhtunkhwa,34.7999,72.5722
Manthoka Waterfall,Waterfall,Gilgit Baltistan,35.066229,75.9947968
Masjid Wazir Khan,Mosque,Punjab,31.5833,74.3236
Matiltan,Valley,Khyber Pakhtunkhwa,35.5418,72.6595
Minar-e-Pakistan,Monument,Punjab,31.5925,74.3095
Mohatta Palace,Museum,Sindh,24.8142,67.033
Mohenjo-daro,Valley,Sindh,27.3243,68.1357
Moola Chotok,Waterfall,Balochistan,27.7572,66.6405599
Naltar lake,Lake,Gilgit Baltistan,36.2397,74.0821
Narh waterfall,Waterfall,Punjab,33.683958,73.5289869
Neela Sandh Waterfall Kotli Sattian,Waterfall,Punjab,33.66149,73.384519
Neelam Valley,Valley,Azad Kashmir,34.5985,73.9073
Noori de Than Waterfall Jabri,Waterfall,Khyber Pakhtunkhwa,33.893504,73.117348
Pakistan Air Force Museum,Museum,Sindh,24.8709,67.0961
Pakistan Monument,Monument,Islamabad,33.6931,73.0689
Panjpeer Rocks,Mountainous,Islamabad,33.7332,73.5325
Pattan,Mountainous,Khyber Pakhtunkhwa,35.11235,73.005843
Pir Sohawa,Resort,Islamabad,33.787,73.1084
Rama Lake,Lake,Gilgit Baltistan,35.3303,74.7856
Ratti Galli Waterfall,Waterfall,Azad Kashmir,34.8296,74.0625
Rawalakot,Valley,Azad Kashmir,33.8584,73.7654
Rohtas Fort,Fort,Punjab,32.9645,73.5745
Rush Lake,Lake,Gilgit Baltistan,36.1745,74.8825
Sajjikot Waterfall Havelian,Waterfall,Khyber Pakhtunkhwa,34.001104,73.278766
Satpara Lake,Lake,Gilgit Baltistan,35.2294,75.6295
Shalamar Bagh,National Park,Punjab,31.5843,74.3828
Shangrila resort,Resort,Gilgit-Baltistan,35.4275,75.4567
Shumber Waterfalls,Waterfall,Islamabad,33.7773,73.17057
Skardu,Valley,Gilgit-Baltistan,35.3247,75.551
Sonmiani Beach,Coastal,Balochistan,24.89951,66.96973
Taxila Museum,Museum,Punjab,33.7459,72.8187
Thal Desert,Desert,Punjab,31.2281,71.8099
The Lahore Museum,Museum,Punjab,31.5684,74.3081
Umbrella Waterfall Poona,Waterfall,Khyber Pakhtunkhwa,33.97709,73.48238
West Bay Beach,Coastal,Balochistan,25.1594,62.1816
